codigo,ano,mes,ym,profundidade,nivel_piezo,rr,eto,caudal,rr_lag1,rr_lag2,eto_lag1,eto_lag2,caudal_lag1,caudal_lag2
329/6,2000,1,2000-01-01,2.36,12.64,28.6,1.3683870967741936,185.3029032258065,,,,,,
329/6,2000,2,2000-02-01,2.36,12.64,1.7,2.0744827586206895,90.41,28.6,,1.3683870967741936,,185.3029032258065,
329/6,2000,3,2000-03-01,2.57,12.43,31.6000021,3.1941935483870965,66.97967741935483,1.7,28.6,2.0744827586206895,1.3683870967741936,90.41,185.3029032258065
329/6,2000,4,2000-04-01,1.84,13.16,177.2000014,2.853666666666667,144.69500000000002,31.6000021,1.7,3.1941935483870965,2.0744827586206895,66.97967741935483,90.41
329/6,2000,5,2000-05-01,1.25,13.75,89.9000016,4.49483870967742,356.5016129032258,177.2000014,31.6000021,2.853666666666667,3.1941935483870965,144.69500000000002,66.97967741935483
329/6,2000,6,2000-06-01,3.55,11.45,0.0,5.980333333333333,78.21866666666666,89.9000016,177.2000014,4.49483870967742,2.853666666666667,356.5016129032258,144.69500000000002
329/6,2000,7,2000-07-01,6.65,8.35,11.2000001,6.033225806451613,82.85612903225807,0.0,89.9000016,5.980333333333333,4.49483870967742,78.21866666666666,356.5016129032258
329/6,2000,8,2000-08-01,7.43,7.57,4.5,5.468709677419355,132.34032258064516,11.2000001,0.0,6.033225806451613,5.980333333333333,82.85612903225807,78.21866666666666
329/6,2000,9,2000-09-01,6.34,8.66,14.7,4.3,410.36,4.5,11.2000001,5.468709677419355,6.033225806451613,132.34032258064516,82.85612903225807
329/6,2000,10,2000-10-01,4.25,10.75,61.9,2.532258064516129,220.84451612903223,14.7,4.5,4.3,5.468709677419355,410.36,132.34032258064516
329/6,2000,11,2000-11-01,3.76,11.24,182.8000004,1.3696666666666668,167.375,61.9,14.7,2.532258064516129,4.3,220.84451612903223,410.36
329/6,2000,12,2000-12-01,1.22,13.78,226.8000036,0.9829032258064516,1447.9051612903224,182.8000004,61.9,1.3696666666666668,2.532258064516129,167.375,220.84451612903223
329/6,2001,1,2001-01-01,,,212.800001,1.1525806451612903,2913.79,226.8000036,182.8000004,0.9829032258064516,1.3696666666666668,1447.9051612903224,167.375
329/6,2001,2,2001-02-01,0.5,14.5,72.8000031,1.8467857142857145,1804.553571428571,212.800001,226.8000036,1.1525806451612903,0.9829032258064516,2913.79,1447.9051612903224
329/6,2001,3,2001-03-01,0.45,14.55,139.2000011,2.302258064516129,1893.2290322580643,72.8000031,212.800001,1.8467857142857145,1.1525806451612903,1804.553571428571,2913.79
329/6,2001,4,2001-04-01,,,28.700001,3.6986666666666665,441.2176666666667,139.2000011,72.8000031,2.302258064516129,1.8467857142857145,1893.2290322580643,1804.553571428571
329/6,2001,5,2001-05-01,,,50.4000006,5.061290322580645,224.12451612903223,28.700001,139.2000011,3.6986666666666665,2.302258064516129,441.2176666666667,1893.2290322580643
329/6,2001,6,2001-06-01,1.65,13.35,9.900001,6.034000000000001,174.23966666666666,50.4000006,28.700001,5.061290322580645,3.6986666666666665,224.12451612903223,441.2176666666667
329/6,2001,7,2001-07-01,,,12.2,5.34516129032258,99.31483870967745,9.900001,50.4000006,6.034000000000001,5.061290322580645,174.23966666666666,224.12451612903223
329/6,2001,8,2001-08-01,,,2.3,5.339677419354839,193.82548387096776,12.2,9.900001,5.34516129032258,6.034000000000001,99.31483870967745,174.23966666666666
329/6,2001,9,2001-09-01,,,23.3000002,4.353666666666667,154.03566666666666,2.3,12.2,5.339677419354839,5.34516129032258,193.82548387096776,99.31483870967745
329/6,2001,10,2001-10-01,,,159.6000004,2.350322580645161,,23.3000002,2.3,4.353666666666667,5.339677419354839,154.03566666666666,193.82548387096776
329/6,2001,11,2001-11-01,,,15.200001,1.5676666666666668,130.31333333333333,159.6000004,23.3000002,2.350322580645161,4.353666666666667,,154.03566666666666
329/6,2001,12,2001-12-01,,,6.4,1.088064516129032,150.8283870967742,15.200001,159.6000004,1.5676666666666668,2.350322580645161,130.31333333333333,
329/6,2002,1,2002-01-01,,,93.300001,1.336774193548387,135.92838709677417,6.4,15.200001,1.088064516129032,1.5676666666666668,150.8283870967742,130.31333333333333
329/6,2002,2,2002-02-01,,,37.3000001,1.9485714285714288,76.5175,93.300001,6.4,1.336774193548387,1.088064516129032,135.92838709677417,150.8283870967742
329/6,2002,3,2002-03-01,,,87.70000329999999,2.936451612903226,245.33967741935484,37.3000001,93.300001,1.9485714285714288,1.336774193548387,76.5175,135.92838709677417
329/6,2002,4,2002-04-01,,,44.0000003,3.8673333333333337,158.975,87.70000329999999,37.3000001,2.936451612903226,1.9485714285714288,245.33967741935484,76.5175
329/6,2002,5,2002-05-01,,,23.9000003,4.586451612903226,85.35451612903225,44.0000003,87.70000329999999,3.8673333333333337,2.936451612903226,158.975,245.33967741935484
329/6,2002,6,2002-06-01,2.3,12.7,7.1000001,5.475333333333333,122.589,23.9000003,44.0000003,4.586451612903226,3.8673333333333337,85.35451612903225,158.975
329/6,2002,7,2002-07-01,7.27,7.73,0.0,5.883870967741935,82.33387096774193,7.1000001,23.9000003,5.475333333333333,4.586451612903226,122.589,85.35451612903225
329/6,2002,8,2002-08-01,,,0.0,5.3829032258064515,69.56387096774193,0.0,7.1000001,5.883870967741935,5.475333333333333,82.33387096774193,122.589
329/6,2002,9,2002-09-01,,,89.60000099999999,3.451,63.498333333333335,0.0,0.0,5.3829032258064515,5.883870967741935,69.56387096774193,82.33387096774193
329/6,2002,10,2002-10-01,,,83.900002,2.3193548387096774,63.92161290322581,89.60000099999999,0.0,3.451,5.3829032258064515,63.498333333333335,69.56387096774193
329/6,2002,11,2002-11-01,,,159.6000034,1.4296666666666666,188.95066666666668,83.900002,89.60000099999999,2.3193548387096774,3.451,63.92161290322581,63.498333333333335
329/6,2002,12,2002-12-01,,,146.4000013,1.1070967741935485,906.6035483870968,159.6000034,83.900002,1.4296666666666666,2.3193548387096774,188.95066666666668,63.92161290322581
329/6,2003,1,2003-01-01,,,111.6000028,1.2867741935483872,1357.2474193548387,146.4000013,159.6000034,1.1070967741935485,1.4296666666666666,906.6035483870968,188.95066666666668
329/6,2003,2,2003-02-01,,,105.2000003,1.7014285714285715,650.0296428571429,111.6000028,146.4000013,1.2867741935483872,1.1070967741935485,1357.2474193548387,906.6035483870968
329/6,2003,3,2003-03-01,,,77.0000002,2.821935483870968,630.12,105.2000003,111.6000028,1.7014285714285715,1.2867741935483872,650.0296428571429,1357.2474193548387
329/6,2003,4,2003-04-01,,,70.0,3.5236666666666667,469.5293333333333,77.0000002,105.2000003,2.821935483870968,1.7014285714285715,630.12,650.0296428571429
329/6,2003,5,2003-05-01,,,0.7,5.35258064516129,208.8858064516129,70.0,77.0000002,3.5236666666666667,2.821935483870968,469.5293333333333,630.12
329/6,2003,6,2003-06-01,,,6.9,5.978,158.13366666666667,0.7,70.0,5.35258064516129,3.5236666666666667,208.8858064516129,469.5293333333333
329/6,2003,7,2003-07-01,,,3.5,5.9316129032258065,114.2158064516129,6.9,0.7,5.978,5.35258064516129,158.13366666666667,208.8858064516129
